date,feature_index,NO2,NO2_lag_1,NO2_lag_2,NO2_lag_3,NO2_lag_4,NO2_lag_5,NO2_lag_6,NO2_lag_7,year,month,day,dayofweek,dayofyear,month_sin,month_cos,day_sin,day_cos
2023-05-30 00:00:00+00:00,0,3.0306314876762204e-05,3.503446269961488e-05,5.0267114784219305e-05,5.496713611348749e-05,3.778052447085763e-05,4.410381762472053e-05,3.247711178193306e-05,6.178974597233996e-05,2023,5,30,1,150,0.49999999999999994,-0.8660254037844387,-0.20129852008866114,0.9795299412524943
2023-05-31 00:00:00+00:00,0,4.704184657941592e-05,3.0306314876762204e-05,3.503446269961488e-05,5.0267114784219305e-05,5.496713611348749e-05,3.778052447085763e-05,4.410381762472053e-05,3.247711178193306e-05,2023,5,31,2,151,0.49999999999999994,-0.8660254037844387,-2.4492935982947064e-16,1.0
2023-06-01 00:00:00+00:00,0,3.3266673663278274e-05,4.704184657941592e-05,3.0306314876762204e-05,3.503446269961488e-05,5.0267114784219305e-05,5.496713611348749e-05,3.778052447085763e-05,4.410381762472053e-05,2023,6,1,3,152,1.2246467991473532e-16,-1.0,0.20129852008866006,0.9795299412524945
2023-06-02 00:00:00+00:00,0,4.239226707016185e-05,3.3266673663278274e-05,4.704184657941592e-05,3.0306314876762204e-05,3.503446269961488e-05,5.0267114784219305e-05,5.496713611348749e-05,3.778052447085763e-05,2023,6,2,4,153,1.2246467991473532e-16,-1.0,0.39435585511331855,0.9189578116202306
2023-06-03 00:00:00+00:00,0,5.284992407507074e-05,4.239226707016185e-05,3.3266673663278274e-05,4.704184657941592e-05,3.0306314876762204e-05,3.503446269961488e-05,5.0267114784219305e-05,5.496713611348749e-05,2023,6,3,5,154,1.2246467991473532e-16,-1.0,0.5712682150947923,0.8207634412072763
2023-06-04 00:00:00+00:00,0,4.176447404865434e-05,5.284992407507074e-05,4.239226707016185e-05,3.3266673663278274e-05,4.704184657941592e-05,3.0306314876762204e-05,3.503446269961488e-05,5.0267114784219305e-05,2023,6,4,6,155,1.2246467991473532e-16,-1.0,0.72479278722912,0.6889669190756866
2023-06-05 00:00:00+00:00,0,4.316892074712087e-05,4.176447404865434e-05,5.284992407507074e-05,4.239226707016185e-05,3.3266673663278274e-05,4.704184657941592e-05,3.0306314876762204e-05,3.503446269961488e-05,2023,6,5,0,156,1.2246467991473532e-16,-1.0,0.8486442574947509,0.5289640103269624
2023-06-06 00:00:00+00:00,0,4.163350450139463e-05,4.316892074712087e-05,4.176447404865434e-05,5.284992407507074e-05,4.239226707016185e-05,3.3266673663278274e-05,4.704184657941592e-05,3.0306314876762204e-05,2023,6,6,1,157,1.2246467991473532e-16,-1.0,0.9377521321470804,0.3473052528448203
2023-06-07 00:00:00+00:00,0,4.819675354044694e-05,4.163350450139463e-05,4.316892074712087e-05,4.176447404865434e-05,5.284992407507074e-05,4.239226707016185e-05,3.3266673663278274e-05,4.704184657941592e-05,2023,6,7,2,158,1.2246467991473532e-16,-1.0,0.9884683243281114,0.1514277775045767
2023-06-08 00:00:00+00:00,0,5.236851816613237e-05,4.819675354044694e-05,4.163350450139463e-05,4.316892074712087e-05,4.176447404865434e-05,5.284992407507074e-05,4.239226707016185e-05,3.3266673663278274e-05,2023,6,8,3,159,1.2246467991473532e-16,-1.0,0.9987165071710528,-0.05064916883871264
2023-06-09 00:00:00+00:00,0,4.988584162895898e-05,5.236851816613237e-05,4.819675354044694e-05,4.163350450139463e-05,4.316892074712087e-05,4.176447404865434e-05,5.284992407507074e-05,4.239226707016185e-05,2023,6,9,4,160,1.2246467991473532e-16,-1.0,0.9680771188662043,-0.2506525322587204
2023-06-10 00:00:00+00:00,0,5.289215016546223e-05,4.988584162895898e-05,5.236851816613237e-05,4.819675354044694e-05,4.163350450139463e-05,4.316892074712087e-05,4.176447404865434e-05,5.284992407507074e-05,2023,6,10,5,161,1.2246467991473532e-16,-1.0,0.8978045395707416,-0.4403941515576344
