date,feature_index,NO2
2023-04-06T00:00:00.000Z,0,
2023-04-04T00:00:00.000Z,0,2.980350756034669E-5
2023-04-08T00:00:00.000Z,0,6.343788048806822E-5
2023-04-02T00:00:00.000Z,0,3.362605240695035E-5
2023-04-03T00:00:00.000Z,0,4.8846883873920885E-5
2023-04-07T00:00:00.000Z,0,5.223831216095608E-5
2023-04-01T00:00:00.000Z,0,6.586846887200539E-5
2023-04-05T00:00:00.000Z,0,9.198404586641118E-5
2023-06-11T00:00:00.000Z,0,2.3798734988034198E-5
2023-06-08T00:00:00.000Z,0,5.236851816613237E-5
2023-06-09T00:00:00.000Z,0,4.9885841628958984E-5
2023-06-07T00:00:00.000Z,0,4.819675354044694E-5
2023-06-06T00:00:00.000Z,0,4.1633504501394626E-5
2023-06-04T00:00:00.000Z,0,4.1764474048654344E-5
2023-06-10T00:00:00.000Z,0,5.2892150165462226E-5
2023-06-05T00:00:00.000Z,0,4.3168920747120865E-5
2024-04-06T00:00:00.000Z,0,5.504266462392277E-5
2024-04-07T00:00:00.000Z,0,1.983355832635425E-5
2024-04-04T00:00:00.000Z,0,5.984124436508864E-5
2024-04-05T00:00:00.000Z,0,4.715143846364559E-5
2024-04-09T00:00:00.000Z,0,
2024-04-10T00:00:00.000Z,0,
2024-04-08T00:00:00.000Z,0,1.9518606292806977E-5
2024-04-03T00:00:00.000Z,0,4.040100797599576E-5
2023-09-22T00:00:00.000Z,0,4.505351096833527E-5
2023-09-23T00:00:00.000Z,0,2.773888450157793E-5
2023-09-18T00:00:00.000Z,0,4.717606881448384E-5
2023-09-17T00:00:00.000Z,0,3.345920204419936E-5
2023-09-21T00:00:00.000Z,0,4.6864973933689004E-5
2023-09-20T00:00:00.000Z,0,5.122789596685041E-5
2023-09-19T00:00:00.000Z,0,5.424166767242193E-5
2023-09-16T00:00:00.000Z,0,1.8228043677017737E-5
2023-10-26T00:00:00.000Z,0,4.616723278132315E-5
2023-10-27T00:00:00.000Z,0,3.385811396583449E-5
2023-07-03T00:00:00.000Z,0,6.0805040962093145E-5
2023-07-05T00:00:00.000Z,0,3.697683203664264E-5
2023-07-02T00:00:00.000Z,0,6.042965625446024E-5
2023-07-01T00:00:00.000Z,0,3.6884747748478764E-5
2023-07-04T00:00:00.000Z,0,6.513183507195208E-5
2023-06-30T00:00:00.000Z,0,4.5590367685340774E-5
2023-06-28T00:00:00.000Z,0,4.609015741152689E-5
2023-06-29T00:00:00.000Z,0,3.292584771866371E-5
2024-05-18T00:00:00.000Z,0,2.7668063661881854E-5
2024-05-16T00:00:00.000Z,0,3.610701573312066E-5
2024-05-19T00:00:00.000Z,0,3.0631438510846983E-5
2024-05-17T00:00:00.000Z,0,2.766758719170615E-5
2024-05-14T00:00:00.000Z,0,4.4161056476613424E-5
2024-05-13T00:00:00.000Z,0,3.4731877952495145E-5
2024-05-15T00:00:00.000Z,0,2.9716115431237622E-5
2024-05-20T00:00:00.000Z,0,3.48600384610591E-5
2025-03-17T00:00:00.000Z,0,
2025-03-16T00:00:00.000Z,0,
2025-03-18T00:00:00.000Z,0,4.3267329601803795E-5
2025-03-20T00:00:00.000Z,0,
2025-03-19T00:00:00.000Z,0,
2025-03-14T00:00:00.000Z,0,
2025-03-15T00:00:00.000Z,0,4.818573385515871E-5
2025-04-06T00:00:00.000Z,0,3.441534424971049E-5
2025-04-11T00:00:00.000Z,0,1.1380448268027976E-4
2025-04-13T00:00:00.000Z,0,3.236057238395648E-5
2025-04-10T00:00:00.000Z,0,
2025-04-08T00:00:00.000Z,0,2.0070304197575108E-5
2025-04-12T00:00:00.000Z,0,1.5376134048411212E-5
2025-04-09T00:00:00.000Z,0,2.980950924238917E-5
2025-04-07T00:00:00.000Z,0,2.3878698993939906E-5
2023-11-22T00:00:00.000Z,0,2.351172113890243E-5
2023-11-25T00:00:00.000Z,0,
2023-11-24T00:00:00.000Z,0,
2023-11-19T00:00:00.000Z,0,4.1977799992309886E-5
2023-11-21T00:00:00.000Z,0,2.708575859363312E-5
2023-11-23T00:00:00.000Z,0,4.3355687583159104E-5
2023-11-20T00:00:00.000Z,0,4.3473864063040914E-5
2023-11-26T00:00:00.000Z,0,7.336622547882143E-5
2023-12-28T00:00:00.000Z,0,2.552085820184402E-5
2023-12-22T00:00:00.000Z,0,4.464620617321035E-5
2023-12-25T00:00:00.000Z,0,
2023-12-21T00:00:00.000Z,0,5.5272293560314785E-5
2023-12-27T00:00:00.000Z,0,5.677418721461436E-5
2023-12-23T00:00:00.000Z,0,5.3586401383440447E-5
2023-12-26T00:00:00.000Z,0,3.3705375446718084E-5
2023-12-24T00:00:00.000Z,0,4.285129504817788E-5
2024-02-18T00:00:00.000Z,0,2.7887769564668734E-5
2024-02-17T00:00:00.000Z,0,3.7260366010933034E-5
2024-02-22T00:00:00.000Z,0,3.7936874832666945E-5
2024-02-15T00:00:00.000Z,0,4.190081859920419E-5
2024-02-21T00:00:00.000Z,0,4.4074619513741066E-5
2024-02-16T00:00:00.000Z,0,4.93151273985859E-5
2024-02-19T00:00:00.000Z,0,4.23692237947964E-5
2024-02-20T00:00:00.000Z,0,3.691051885349831E-5
2023-04-11T00:00:00.000Z,0,2.468693669884074E-5
2023-04-12T00:00:00.000Z,0,4.5740268909693916E-5
2023-04-09T00:00:00.000Z,0,3.757771557704675E-5
2023-04-10T00:00:00.000Z,0,
2023-04-16T00:00:00.000Z,0,6.621084830840118E-5
2023-04-13T00:00:00.000Z,0,
2023-04-15T00:00:00.000Z,0,4.606262154993601E-5
2023-04-14T00:00:00.000Z,0,3.730665246067751E-5
2023-10-04T00:00:00.000Z,0,2.6948337938887086E-5
2023-10-09T00:00:00.000Z,0,2.9967178594530677E-5
2023-10-02T00:00:00.000Z,0,4.209075558144238E-5
2023-10-06T00:00:00.000Z,0,2.7326315273744607E-5
