,date,NO2
338,2023-09-03,2.93211700483546e-05
339,2023-09-04,3.8775965076267165e-05
340,2023-09-05,2.5894242241975007e-05
341,2023-09-06,4.658081721381199e-05
342,2023-09-07,6.695179596742189e-05
343,2023-09-08,5.146691975304358e-05
344,2023-09-09,5.13273563989728e-05
345,2023-09-10,3.158136335941333e-05
346,2023-09-11,2.1995428502795335e-05
347,2023-09-12,4.240664570716035e-05
348,2023-09-13,3.322490913758104e-05
349,2023-09-14,3.804844067524434e-05
350,2023-09-15,3.141441605720854e-05
351,2023-09-16,1.8228043677017737e-05
352,2023-09-17,3.345920204419936e-05
353,2023-09-18,4.717606881448384e-05
354,2023-09-19,5.424166767242193e-05
355,2023-09-20,5.122789596685041e-05
356,2023-09-21,4.686497393368901e-05
357,2023-09-22,4.505351096833527e-05
358,2023-09-23,2.773888450157793e-05
359,2023-09-24,2.6465747683984345e-05
360,2023-09-25,3.701753843188271e-05
361,2023-09-26,3.107357443528896e-05
362,2023-09-27,2.4527073000339142e-05
363,2023-09-28,2.491489884013557e-05
364,2023-09-29,3.0990865571784894e-05
365,2023-09-30,3.9734526061303245e-05
366,2023-10-01,3.72037320820103e-05
367,2023-10-02,4.209075558144238e-05
368,2023-10-03,3.92172750371569e-05
369,2023-10-04,2.694833793888709e-05
370,2023-10-05,2.7123085564365896e-05
371,2023-10-06,2.7326315273744607e-05
372,2023-10-07,3.2621736028552415e-05
373,2023-10-08,1.866451586874045e-05
374,2023-10-09,2.996717859453068e-05
375,2023-10-10,4.090756832889989e-05
376,2023-10-11,3.052432982388252e-05
377,2023-10-12,2.262535262699964e-05
378,2023-10-13,3.70750400105287e-05
379,2023-10-14,2.132782281812385e-05
380,2023-10-15,1.7233730739008023e-05
381,2023-10-16,2.808286858743621e-05
382,2023-10-17,3.1364268264097724e-05
383,2023-10-18,2.9071036360805083e-05
384,2023-10-19,3.051511718082593e-05
385,2023-10-20,3.350438899880308e-05
386,2023-10-21,4.182501941947837e-05
387,2023-10-22,3.9192138984264825e-05
388,2023-10-23,3.8372971305631965e-05
389,2023-10-24,3.5422225020435384e-05
390,2023-10-25,2.980150621828661e-05
391,2023-10-26,4.616723278132315e-05
392,2023-10-27,3.385811396583449e-05
393,2023-10-28,2.890287270224225e-05
394,2023-10-29,3.79734526121661e-05
395,2023-10-30,3.126389169572539e-05
396,2023-10-31,4.657636960399365e-05
397,2023-11-01,4.920156415933814e-05
398,2023-11-02,2.965213281306799e-05
399,2023-11-03,2.6269604950151227e-05
400,2023-11-04,2.288707708723446e-05
401,2023-11-05,1.9504549224317696e-05
402,2023-11-06,3.1059429008508936e-05
403,2023-11-07,5.545431764630848e-05
404,2023-11-08,6.6545730226849e-05
405,2023-11-09,5.682373133216364e-05
406,2023-11-10,4.13491765184084e-05
